id_venda,data_venda,cliente_id,cliente_nome,cliente_email,cliente_cidade,cliente_estado,tipo_vinho,rotulo,uva,pais_origem,teor_alcoolico,preco,quantidade,status_venda
0b5d1aab-22ce-4bf5-83b6-283e3d19bc64,2023-10-20,12d6885f-31d1-4e0d-9281-5b92f25c9867,Mariah Ramos,luanadas-neves@example.com,Rodrigues,TO,Rosé,Rosé Summer,Grenache,Espanha,12.0,62.97,1,cancelada
c088094e-6c8d-413f-b475-3d3c91349e40,2023-05-02,2722fbe6-3b3b-4af5-95e8-1bc801f9ea10,Giovanna Andrade,dom34@example.net,Silveira,TO,Rosé,Rosé Summer,Grenache,Espanha,12.0,31.4,12,concluída
1372d453-9e7c-4f58-b33d-b07a6a83a8d9,2024-12-22,cf00b409-e777-4d5f-87b2-ab336c237f7b,Ana da Cruz,zgarcia@example.com,Gonçalves de Minas,PB,Espumante,Prosecco Extra Dry,Glera,Itália,11.0,136.79,11,pendente
d8158e8b-660e-4597-bd94-09c07f388127,2024-12-30,a038a9e1-e55e-4bad-a514-23e290e0b9d2,Lunna Camargo,joao-pedro72@example.com,Costa,SC,Espumante,Cava Brut,Macabeo,Espanha,11.5,272.95,11,concluída
69016e9f-f085-487c-9535-6175bad24e06,2025-10-29,a214d121-3507-42a5-a0df-e57cf9405f44,Maria Cecília Castro,lucasandrade@example.com,Ribeiro Alegre,AM,Branco,Riesling Classic,Riesling,Alemanha,11.5,70.86,12,concluída
790b0a55-3fae-407f-8485-6bb43924aee9,2023-02-11,ff42f524-fa13-4a7e-b908-b4e0e95bcf2e,Bella da Mata,henrymoura@example.net,Silveira,MS,Tinto,Cabernet Sauvignon,Cabernet Sauvignon,Chile,13.5,90.13,5,concluída
48364b02-cc7c-40f6-a80a-1f8b2131b03a,2024-08-27,2084c07e-bdd8-4a3c-9c97-7af844505ff0,Isaque das Neves,marquesasafe@example.org,Fonseca,PE,Tinto,Cabernet Sauvignon,Cabernet Sauvignon,Chile,13.5,96.75,6,cancelada
97fb4cea-9513-48e8-9270-a1bf28eb0c92,2023-11-07,a6b490b7-8cb5-45d8-8446-40c814ebe67c,Sra. Olívia Fogaça,da-costajoaquim@example.org,Rezende,PI,Espumante,Prosecco Extra Dry,Glera,Itália,11.0,123.34,2,pendente
77498855-5446-45cf-9129-2eaff2ede112,2024-03-11,708e1e4a-4296-47bd-b433-0d609774b566,Davi Lucca Aparecida,cauanovaes@example.com,Alves Grande,PR,Espumante,Prosecco Extra Dry,Glera,Itália,11.0,67.29,10,pendente
fb960c21-b60b-45fa-837d-1314e4175adb,2023-09-16,1445c15a-922c-4211-ba5f-ad54034753b5,Aylla Araújo,novaesluiz-gustavo@example.com,Mendes,PB,Rosé,Rosé Provence,Blend,França,12.5,88.4,12,concluída
54842030-48c8-458c-86b8-911b8c9d0b3f,2025-07-27,4af595ca-0b18-4100-99e2-10ed55bb1f36,Vinicius Garcia,juliaduarte@example.com,Lopes,TO,Rosé,Rosé Provence,Blend,França,12.5,30.2,5,cancelada
0ff43f5b-d6b4-4688-9630-bd8c95d90a24,2023-10-01,5d2029b2-abdd-46e7-9ff4-f7e8a66f8d0a,Ana Beatriz Moura,theo59@example.com,Casa Grande,RS,Tinto,Cabernet Sauvignon,Cabernet Sauvignon,Chile,13.5,117.18,8,cancelada
76a9d2a1-2a7e-4816-aee0-636aa99d3ddd,2024-09-28,3ed3f885-efa7-40de-822e-962faca87640,Diogo Melo,heitor20@example.com,Castro do Amparo,AP,Rosé,Rosé Provence,Blend,França,12.5,58.49,2,concluída
9ae727f8-04e7-4abb-8537-9d8a45397d7b,2023-11-23,d9754ba6-69cb-427b-8904-c1fbb777cafa,Bianca Rios,garciaravi@example.com,Marques Grande,SE,Tinto,Merlot Reserva,Merlot,França,13.0,55.43,2,pendente
eb05b801-58b5-4027-b8d8-58f6fbf8b4b1,2024-12-04,d302565c-b9b5-44e4-895e-3f2f199c931d,Erick Campos,gael57@example.net,Cunha,AL,Rosé,Rosé Provence,Blend,França,12.5,67.04,8,concluída
