id_venda,data_venda,cliente_id,cliente_nome,cliente_email,cliente_cidade,cliente_estado,tipo_vinho,rotulo,uva,pais_origem,teor_alcoolico,preco,quantidade,status_venda
5262375f-8e73-4209-acb8-c4887a52b75c,2024-09-15,200de708-5536-4729-819c-2f505c7c0629,Anna Liz da Costa,santosenzo-gabriel@example.org,Albuquerque da Mata,AC,Tinto,Cabernet Sauvignon,Cabernet Sauvignon,Chile,13.5,62.53,1,cancelada
662b4d25-554d-4446-86d8-e4210209f00f,2025-04-20,2c15d7e3-94fe-4df4-ac7f-60188f7325b1,João Vitor Moraes,dda-paz@example.com,Teixeira,AC,Rosé,Rosé Summer,Grenache,Espanha,12.0,47.3,6,cancelada
b74179ef-20aa-4ce0-bfc2-d9fe65958f29,2025-07-03,c30b669f-bada-439a-b67f-3d5eea837ee2,Bárbara da Luz,portoravi-lucca@example.net,Silva do Amparo,SP,Espumante,Champagne Brut,Blend,França,12.0,118.44,5,pendente
ca5b3cd1-bec0-4d1f-82dc-6f524ad7b71b,2024-04-14,701bc6a2-0b25-45ed-a7ae-a9c2ee183345,Bruna Jesus,da-cruzcaue@example.net,Pires da Praia,SC,Espumante,Prosecco Extra Dry,Glera,Itália,11.0,156.31,7,cancelada
c384e6f3-c871-4a49-9b3e-b72440dfb459,2023-12-21,11e102d9-5de6-4b11-873c-7b9f18f7e447,Diogo Oliveira,pastorgustavo-henrique@example.org,Vargas Grande,PA,Rosé,Rosé Provence,Blend,França,12.5,92.56,6,concluída
409bc606-804d-4e12-af23-279351ba0119,2024-11-22,40582a04-bfed-4c18-a8d2-df63101dc5a1,Luísa Cassiano,fcasa-grande@example.com,Mendes do Oeste,MG,Tinto,Cabernet Sauvignon,Cabernet Sauvignon,Chile,13.5,96.25,6,pendente
9087bb16-0c88-4cbf-9f96-198a1f3d53c8,2023-01-08,0b96553b-78ff-4164-80c2-3e91e14aecd9,Emilly Novais,josue97@example.com,Rios,MA,Espumante,Cava Brut,Macabeo,Espanha,11.5,179.23,7,concluída
76e9f671-3a4f-4342-b1eb-e4a4c4cea465,2023-01-07,64476c40-57be-43a9-a33a-d7a6529f4182,Fernanda Fernandes,borgesana-julia@example.com,da Paz,RR,Rosé,Rosé Provence,Blend,França,12.5,108.86,6,concluída
eafa606e-0055-4bf3-b2dc-98ea60ff52e8,2023-04-26,03702397-d163-4b31-915b-f9e6f0265a4c,Sra. Ana Julia Moura,vitor17@example.net,Santos do Campo,AL,Rosé,Rosé Summer,Grenache,Espanha,12.0,89.51,1,cancelada
4846e579-98b3-40cf-8a23-35a3ada956fc,2023-08-28,68a1ef6c-4458-4951-9f10-d16f72da4e08,Maria Fernanda Cardoso,yurigarcia@example.com,Melo das Flores,AP,Tinto,Merlot Reserva,Merlot,França,13.0,47.7,11,concluída
719fdf6f-10cf-4a69-bf4a-35b1d33b4798,2023-02-24,a80ff75e-95c3-4521-b4d4-a7084092e3ff,Léo da Cunha,pereiragael@example.net,Fonseca do Amparo,PE,Rosé,Rosé Summer,Grenache,Espanha,12.0,91.29,7,pendente
2a681bbf-1867-4a98-9580-860e510385d7,2025-02-04,ed003c6c-d54b-4faa-a536-69775047afbd,Isabella Santos,otto52@example.net,Borges,PA,Rosé,Rosé Summer,Grenache,Espanha,12.0,68.8,2,pendente
ad4c70a8-33f8-4955-9435-3c39cbded071,2023-06-29,1e0bb06e-5cf2-4b41-9486-35238d87ce0c,Sra. Pietra Moraes,aylla92@example.net,Sales,RS,Espumante,Champagne Brut,Blend,França,12.0,222.44,1,cancelada
137e7e8c-eafc-40eb-9a37-c2341644446d,2024-02-02,3108a8b6-6f48-4b76-94a5-c7c102d2f08d,Agatha Pereira,valentim91@example.net,Almeida de Leão,MS,Branco,Sauvignon Blanc Fresh,Sauvignon Blanc,Nova Zelândia,12.0,97.42,10,concluída
870928c3-39ec-4a08-9be3-957d37118fc5,2023-03-15,2cf1177a-7796-4adf-97ad-07de29aabe37,Melissa Teixeira,zpires@example.net,Melo Grande,GO,Espumante,Cava Brut,Macabeo,Espanha,11.5,189.63,4,concluída
3ff50d26-2804-4f82-9a4a-e05fd69f7ace,2024-02-12,6a3f509b-1fef-421c-acd0-f6a61323fbd5,Bella da Conceição,breno16@example.org,Castro,PR,Tinto,Cabernet Sauvignon,Cabernet Sauvignon,Chile,13.5,42.69,6,concluída
02e6663d-dfd4-4d2c-b661-0129ce26cd80,2023-09-30,cba3a587-2d1f-49f9-b90e-a5a3492af831,Sr. Théo Rodrigues,rezendearthur-gabriel@example.net,Costa,MA,Rosé,Rosé Summer,Grenache,Espanha,12.0,32.28,8,cancelada
8afdc719-0725-4cf4-9b73-43b2c1b6086d,2024-07-16,a285cb13-4902-4478-9e2b-c9bb3482c45f,Srta. Daniela Barbosa,danilo66@example.org,Pinto,PB,Branco,Riesling Classic,Riesling,Alemanha,11.5,116.32,1,concluída
e59407b9-6550-452b-9ada-edbcf0fe4584,2022-12-20,3fbd3480-49fd-4bfd-9c4f-69929fbb608f,Enzo Lima,novaesjosue@example.net,Mendes de Alves,PA,Espumante,Prosecco Extra Dry,Glera,Itália,11.0,267.37,10,cancelada
c166205b-b15b-46c7-ada7-ca75b4aef857,2022-12-20,e01f2377-430d-48ca-9d32-8d3eab14219f,Júlia Sá,rgoncalves@example.com,Fonseca,DF,Espumante,Prosecco Extra Dry,Glera,Itália,11.0,170.5,6,concluída
e989178d-a93e-4a9d-b5a2-8c545c2558c5,2024-06-09,13005082-ef13-4adc-80a4-a3b19bb430e6,Anthony Cavalcante,rezendemaria-sophia@example.net,Abreu,GO,Branco,Sauvignon Blanc Fresh,Sauvignon Blanc,Nova Zelândia,12.0,60.6,8,pendente
b237f520-ab22-458a-8a67-e7c5b4d80b5b,2024-03-23,f43d0ab9-23a1-4c58-b229-60147694798e,Levi Marques,albuquerquefernanda@example.net,Cavalcanti do Sul,RS,Espumante,Prosecco Extra Dry,Glera,Itália,11.0,175.4,10,concluída
